# PROVENANCE: Grimme D3 reference data via MOPAC v23.2.5 (github.com/openmopac/mopac tag v23.2.5, Apache-2.0), src/corrections/copyc6.F90.
# The D3 model and reference data are S. Grimme et al., J. Chem. Phys. 132, 154104 (2010); see THIRD_PARTY_NOTICES.md.
iat,jat,c6,cn_a,cn_b
1,1,3.0267,0.9118,0.9118
2,1,2.0835,0.0,0.9118
2,2,1.5583,0.0,0.0
3,1,38.9448,0.0,0.9118
3,2,22.1508,0.0,0.0
3,3,1163.4454,0.0,0.0
4,1,24.4415,0.0,0.9118
4,2,14.8246,0.0,0.0
4,3,494.619,0.0,0.0
4,4,257.4863,0.0,0.0
5,1,17.3143,0.0,0.9118
5,2,11.0975,0.0,0.0
5,3,283.7308,0.0,0.0
5,4,161.5971,0.0,0.0
5,5,107.1777,0.0,0.0
6,1,12.1402,0.0,0.9118
6,2,8.1841,0.0,0.0
6,3,169.903,0.0,0.0
6,4,102.956,0.0,0.0
6,5,71.2794,0.0,0.0
6,6,49.113,0.0,0.0
7,1,8.7171,0.0,0.9118
7,2,6.138,0.0,0.0
7,3,108.4854,0.0,0.0
7,4,68.6458,0.0,0.0
7,5,49.1132,0.0,0.0
7,6,34.8146,0.0,0.0
7,7,25.2685,0.0,0.0
8,1,6.718,0.0,0.9118
8,2,4.8949,0.0,0.0
8,3,76.9613,0.0,0.0
8,4,50.1252,0.0,0.0
8,5,36.7247,0.0,0.0
8,6,26.5929,0.0,0.0
8,7,19.6546,0.0,0.0
8,8,15.5059,0.0,0.0
9,1,5.1616,0.0,0.9118
9,2,3.8825,0.0,0.0
9,3,55.0933,0.0,0.0
9,4,36.7453,0.0,0.0
9,5,27.4821,0.0,0.0
9,6,20.2827,0.0,0.0
9,7,15.2418,0.0,0.0
9,8,12.1834,0.0,0.0
9,9,9.6916,0.0,0.0
10,1,4.0112,0.0,0.9118
10,2,3.1025,0.0,0.0
10,3,40.4731,0.0,0.0
10,4,27.4867,0.0,0.0
10,5,20.9022,0.0,0.0
10,6,15.674,0.0,0.0
10,7,11.9479,0.0,0.0
10,8,9.6606,0.0,0.0
10,9,7.7691,0.0,0.0
10,10,6.2896,0.0,0.0
11,1,46.8232,0.0,0.9118
11,2,26.8628,0.0,0.0
11,3,1367.3272,0.0,0.0
11,4,587.4563,0.0,0.0
11,5,338.7212,0.0,0.0
11,6,203.7631,0.0,0.0
11,7,130.6563,0.0,0.0
11,8,93.0263,0.0,0.0
11,9,66.8423,0.0,0.0
11,10,49.2799,0.0,0.0
11,11,1608.0286,0.0,0.0
12,1,38.3531,0.0,0.9118
12,2,23.032,0.0,0.0
12,3,830.8156,0.0,0.0
12,4,418.2164,0.0,0.0
12,5,258.1303,0.0,0.0
12,6,162.6082,0.0,0.0
12,7,107.615,0.0,0.0
12,8,78.225,0.0,0.0
12,9,57.1605,0.0,0.0
12,10,42.6771,0.0,0.0
12,11,985.1697,0.0,0.0
12,12,683.3758,0.0,0.0
13,1,36.2909,0.0,0.9118
13,2,22.3224,0.0,0.0
13,3,705.8254,0.0,0.0
13,4,372.6302,0.0,0.0
13,5,236.478,0.0,0.0
13,6,152.0934,0.0,0.0
13,7,102.2,0.0,0.0
13,8,75.0755,0.0,0.0
13,9,55.3412,0.0,0.0
13,10,41.5966,0.0,0.0
13,11,838.9648,0.0,0.0
13,12,603.4689,0.0,0.0
13,13,540.5406,0.0,0.0
14,1,29.5947,0.0,0.9118
14,2,18.85,0.0,0.0
14,3,495.3449,0.0,0.0
14,4,279.7863,0.0,0.0
14,5,184.5111,0.0,0.0
14,6,122.1387,0.0,0.0
14,7,83.8498,0.0,0.0
14,8,62.5349,0.0,0.0
14,9,46.6936,0.0,0.0
14,10,35.455,0.0,0.0
14,11,591.0458,0.0,0.0
14,12,447.6423,0.0,0.0
14,13,408.9606,0.0,0.0
14,14,317.8574,0.0,0.0
15,1,23.7604,0.0,0.9118
15,2,15.6689,0.0,0.0
15,3,350.803,0.0,0.0
15,4,208.7331,0.0,0.0
15,5,142.3481,0.0,0.0
15,6,96.7503,0.0,0.0
15,7,67.7873,0.0,0.0
15,8,51.3098,0.0,0.0
15,9,38.8084,0.0,0.0
15,10,29.7767,0.0,0.0
15,11,420.0064,0.0,0.0
15,12,330.7801,0.0,0.0
15,13,307.2965,0.0,0.0
15,14,244.3546,0.0,0.0
15,15,191.6887,0.0,0.0
16,1,20.0948,0.0,0.9118
16,2,13.6108,0.0,0.0
16,3,273.7867,0.0,0.0
16,4,167.9513,0.0,0.0
16,5,117.1121,0.0,0.0
16,6,81.0919,0.0,0.0
16,7,57.6734,0.0,0.0
16,8,44.147,0.0,0.0
16,9,33.7264,0.0,0.0
16,10,26.094,0.0,0.0
16,11,328.599,0.0,0.0
16,12,264.6665,0.0,0.0
16,13,248.5008,0.0,0.0
16,14,200.5374,0.0,0.0
16,15,159.4898,0.0,0.0
16,16,134.0066,0.0,0.0
17,1,16.7052,0.0,0.9118
17,2,11.6302,0.0,0.0
17,3,210.6626,0.0,0.0
17,4,132.9808,0.0,0.0
17,5,94.7612,0.0,0.0
17,6,66.8407,0.0,0.0
17,7,48.2624,0.0,0.0
17,8,37.3688,0.0,0.0
17,9,28.8445,0.0,0.0
17,10,22.5121,0.0,0.0
17,11,253.5136,0.0,0.0
17,12,208.4978,0.0,0.0
17,13,197.7594,0.0,0.0
17,14,161.8686,0.0,0.0
17,15,130.4725,0.0,0.0
17,16,110.7006,0.0,0.0
17,17,92.346,0.0,0.0
18,1,13.87,0.0,0.9118
18,2,9.913,0.0,0.0
18,3,163.5497,0.0,0.0
18,4,105.7229,0.0,0.0
18,5,76.7949,0.0,0.0
18,6,55.0898,0.0,0.0
18,7,40.3435,0.0,0.0
18,8,31.5783,0.0,0.0
18,9,24.6178,0.0,0.0
18,10,19.3774,0.0,0.0
18,11,197.344,0.0,0.0
18,12,165.1006,0.0,0.0
18,13,157.9595,0.0,0.0
18,14,130.8927,0.0,0.0
18,15,106.7698,0.0,0.0
18,16,91.4014,0.0,0.0
18,17,76.9383,0.0,0.0
18,18,64.6462,0.0,0.0
19,1,76.2376,0.0,0.9118
19,2,44.0411,0.0,0.0
19,3,2387.1574,0.0,0.0
19,4,972.3197,0.0,0.0
19,5,554.198,0.0,0.0
19,6,332.2694,0.0,0.0
19,7,213.2001,0.0,0.0
19,8,152.142,0.0,0.0
19,9,109.6439,0.0,0.0
19,10,81.0861,0.0,0.0
19,11,2798.6124,0.0,0.0
19,12,1642.0587,0.0,0.0
19,13,1387.9361,0.0,0.0
19,14,967.6283,0.0,0.0
19,15,684.4968,0.0,0.0
19,16,535.2384,0.0,0.0
19,17,413.1512,0.0,0.0
19,18,322.1155,0.0,0.0
19,19,4983.5009,0.0,0.0
20,1,65.818,0.0,0.9118
20,2,39.0701,0.0,0.0
20,3,1614.4719,0.0,0.0
20,4,757.907,0.0,0.0
20,5,454.8439,0.0,0.0
20,6,281.7035,0.0,0.0
20,7,184.5498,0.0,0.0
20,8,133.3847,0.0,0.0
20,9,97.0824,0.0,0.0
20,10,72.3072,0.0,0.0
20,11,1907.7081,0.0,0.0
20,12,1252.5932,0.0,0.0
20,13,1088.842,0.0,0.0
20,14,790.6347,0.0,0.0
20,15,575.4627,0.0,0.0
20,16,456.8443,0.0,0.0
20,17,357.4737,0.0,0.0
20,18,281.6823,0.0,0.0
20,19,3240.4393,0.0,0.0
20,20,2352.6862,0.0,0.0
21,1,54.9669,0.0,0.9118
21,2,32.8995,0.0,0.0
21,3,1278.1183,0.0,0.0
21,4,617.3358,0.0,0.0
21,5,375.0418,0.0,0.0
21,6,234.195,0.0,0.0
21,7,154.2947,0.0,0.0
21,8,111.9359,0.0,0.0
21,9,81.7242,0.0,0.0
21,10,61.0154,0.0,0.0
21,11,1512.5338,0.0,0.0
21,12,1015.5454,0.0,0.0
21,13,888.6025,0.0,0.0
21,14,651.204,0.0,0.0
21,15,477.2797,0.0,0.0
21,16,380.4107,0.0,0.0
