# PROVENANCE: Grimme D3 reference data via MOPAC v23.2.5 (github.com/openmopac/mopac tag v23.2.5, Apache-2.0), src/corrections/dftd3_bits.F90.
# The D3 model and reference data are S. Grimme et al., J. Chem. Phys. 132, 154104 (2010); see THIRD_PARTY_NOTICES.md.
z,r2r4,rcov
1,8.0589,0.32
2,3.4698,0.46
3,29.0974,1.2
4,14.8517,0.94
5,11.8799,0.77
6,7.8715,0.75
7,5.5588,0.71
8,4.7566,0.63
9,3.8025,0.64
10,3.1036,0.67
11,26.1552,1.4
12,17.2304,1.25
13,17.721,1.13
14,12.7442,1.04
15,9.5361,1.1
16,8.1652,1.02
17,6.7463,0.99
18,5.6004,0.96
19,29.2012,1.76
20,22.3934,1.54
21,19.0598,1.33
22,16.859,1.22
23,15.4023,1.21
24,12.5589,1.1
25,13.4788,1.07
26,12.2309,1.04
27,11.2809,1.0
28,10.5569,0.99
29,10.1428,1.01
30,9.4907,1.09
31,13.4606,1.12
32,10.8544,1.09
33,8.9386,1.15
34,8.135,1.1
35,7.1251,1.14
36,6.1971,1.17
37,30.0162,1.89
38,24.4103,1.67
39,20.3537,1.47
40,17.478,1.39
41,13.5528,1.32
42,11.8451,1.24
43,11.0355,1.15
44,10.1997,1.13
45,9.5414,1.13
46,9.0061,1.08
47,8.6417,1.15
48,8.9975,1.23
49,14.0834,1.28
50,11.8333,1.26
51,10.0179,1.26
52,9.3844,1.23
53,8.411,1.32
54,7.5152,1.31
55,32.7622,2.09
56,27.5708,1.76
57,23.1671,1.62
58,21.6003,1.47
59,20.9615,1.58
60,20.4562,1.57
61,20.101,1.56
62,19.7475,1.55
63,19.4828,1.51
64,15.6013,1.52
65,19.2362,1.51
66,17.4717,1.5
67,17.8321,1.49
68,17.4237,1.49
69,17.1954,1.48
70,17.1631,1.53
71,14.5716,1.46
72,15.8758,1.37
73,13.8989,1.31
74,12.4834,1.23
75,11.4421,1.18
76,10.2671,1.16
77,8.3549,1.11
78,7.8496,1.12
79,7.3278,1.13
80,7.482,1.32
81,13.5124,1.3
82,11.6554,1.3
83,10.0959,1.36
84,9.734,1.31
85,8.8584,1.38
86,8.0125,1.42
87,29.8135,2.01
88,26.3157,1.81
89,19.1885,1.67
90,15.8542,1.58
91,16.1305,1.52
92,15.6161,1.53
93,15.1226,1.54
94,16.1576,1.55
