# PROVENANCE: extracted from MOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/alpb_and_xfac_pm3.F90
# license: Apache-2.0
# extraction script: tools/extract_pm3_params.py
# note: values are published scientific constants; see THIRD_PARTY_NOTICES.md
zi,zj,alpb,xfac
11,1,1.800472,3.171946
11,6,1.321600,0.876072
11,7,0.999895,0.295812
11,8,2.116028,3.392634
11,9,1.860719,1.605474
11,11,1.024150,1.126080
16,11,0.999990,0.241710
17,11,1.420756,1.168589
19,1,1.027701,0.893642
19,6,1.453975,2.009100
19,7,0.999984,0.425244
19,8,1.470651,0.999945
19,9,0.999898,0.342063
19,16,1.000576,0.584513
19,17,0.999989,0.584823
19,19,1.532875,8.250024
20,1,1.427846,1.805489
20,6,0.999993,0.320183
20,7,0.999993,0.275261
20,8,1.934512,0.480203
20,9,1.964914,0.594612
20,16,0.999960,0.212682
20,17,1.669363,0.928683
20,20,0.999174,3.160373
35,11,1.517965,1.741658
35,19,1.401604,2.440790
35,20,1.509690,0.874420
37,1,2.066936,9.999919
37,5,1.996668,10.000119
37,8,1.999948,1.817233
37,9,3.083855,10.000006
37,17,2.371423,9.970607
37,35,2.071332,7.407687
37,37,0.539344,2.654922
38,1,1.385332,7.195639
38,6,1.392807,5.455084
38,7,1.392514,5.293460
38,8,2.471371,2.147711
38,9,2.525416,5.359983
38,16,1.045944,0.594774
38,17,1.473507,1.176805
38,35,1.338861,1.082828
38,38,1.393785,5.138251
53,11,1.148784,0.747959
53,19,1.402113,2.568324
53,20,1.513600,0.856865
53,38,1.730393,3.855491
55,1,1.448617,6.721688
55,6,0.999871,5.579858
55,7,0.999559,0.242498
55,8,3.222538,7.547802
55,9,2.748652,3.360596
55,15,0.999863,0.099894
55,16,0.999607,0.869429
55,17,0.999578,0.288955
55,35,0.999651,0.350614
55,53,0.998419,0.377054
55,55,0.997434,8.549732
56,1,0.999997,0.099997
56,6,0.999997,0.099997
56,7,0.999997,0.099997
56,8,1.249857,0.352542
56,9,1.886689,1.528347
56,16,0.999862,0.904098
56,17,1.490059,1.846584
56,35,1.628325,3.652542
56,53,1.461169,2.514512
56,56,0.999997,0.099997
