# PROVENANCE: extracted from MOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/parameters_for_PM3_C.F90
# license: Apache-2.0
# extraction script: tools/extract_pm3_params.py
# note: values are published scientific constants; see THIRD_PARTY_NOTICES.md
z,sym,uss,upp,udd,zs,zp,zd,betas,betap,betad,gss,gsp,gpp,gp2,hsp,zsn,zpn,zdn,f0sd,g2sd,alp,poc,g1_k,g1_l,g1_m,g2_k,g2_l,g2_m,g3_k,g3_l,g3_m,g4_k,g4_l,g4_m
1,H,-13.0733210,0,0,0.9678070,0,0,-5.6265120,0,0,14.7942080,0,0,0,0,0,0,0,0,0,3.3563860,0,1.1287500,5.0962820,1.5374650,-1.0603290,6.0037880,1.5701890,0,0,0,0,0,0
2,He,-35.4931170,9.9998433,0,1.7710761,6.9018258,0,-17.5545020,-26.0526064,0,8.0590135,11.0152229,19.3843339,11.3517224,0.5321205,0,0,0,0,0,5.7813931,0,0.1985976,1.0009593,0.5031509,0,0,0,0,0,0,0,0,0
3,Li,-5.3000000,-3.4000000,0,0.6500000,0.7500000,0,-0.5500000,-1.5000000,0,4.5000000,3.0000000,5.2500000,4.5000000,0.1500000,0,0,0,0,0,1.2550000,0,-0.4500000,5.0000000,1.0000000,0.8000000,6.5000000,1.0000000,0,0,0,0,0,0
4,Be,-17.2647520,-11.3042430,0,0.8774390,1.5087550,0,-3.9620530,-2.7806840,0,9.0128510,6.5761990,6.0571820,9.0052190,0.5446790,0,0,0,0,0,1.5935360,0,1.6315720,2.6729620,1.7916860,-2.1109590,1.9685940,1.7558710,0,0,0,0,0,0
5,B,-50.4776829,-37.4119835,0,1.5312597,1.1434597,0,-10.5497263,-3.9995953,0,18.2782796,15.3330673,12.3158582,11.1785351,0.5997885,0,0,0,0,0,2.2104163,0,-0.3518407,3.0008621,0.8241176,0,0,0,0,0,0,0,0,0
6,C,-47.2703200,-36.2669180,0,1.5650850,1.8423450,0,-11.9100150,-9.8027550,0,11.2007080,10.2650270,10.7962920,9.0425660,2.2909800,0,0,0,0,0,2.7078070,0,0.0501070,6.0031650,1.6422140,0.0507330,6.0029790,0.8924880,0,0,0,0,0,0
7,N,-49.3356720,-47.5097360,0,2.0280940,2.3137280,0,-14.0625210,-20.0438480,0,11.9047870,7.3485650,11.7546720,10.8072770,1.1367130,0,0,0,0,0,2.8305450,0,1.5016740,5.9011480,1.7107400,-1.5057720,6.0046580,1.7161490,0,0,0,0,0,0
8,O,-86.9930020,-71.8795800,0,3.7965440,2.3894020,0,-45.2026510,-24.7525150,0,15.7557600,10.6211600,13.6540160,12.4060950,0.5938830,0,0,0,0,0,3.2171020,0,-1.1311280,6.0024770,1.6073110,1.1378910,5.9505120,1.5983950,0,0,0,0,0,0
9,F,-110.4353030,-105.6850470,0,4.7085550,2.4911780,0,-48.4059390,-27.7446600,0,10.4966670,16.0736890,14.8172560,14.4183930,0.7277630,0,0,0,0,0,3.3589210,0,-0.0121660,6.0235740,1.8568590,-0.0028520,6.0037170,2.6361580,0,0,0,0,0,0
10,Ne,9.6554736,-71.1466474,0,5.9998745,4.1752600,0,-0.1512657,-23.8470187,0,0.4989374,10.1592044,18.9449976,8.5648589,0.2999991,0,0,0,0,0,2.5377255,0,0.2352109,8.8116607,1.0927884,0,0,0,0,0,0,0,0,0
11,Na,-5.0140594,-2.9252301,0,2.6618938,0.8837425,0,-3.9486341,-4.2401809,0,5.7975247,10.0000062,1.2247903,0.9996497,0.3999363,0,0,0,0,0,0.9109177,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Mg,-14.6236880,-14.1734600,0,0.6985520,1.4834530,0,-2.0716910,-0.5695810,0,6.6943000,6.7939950,6.9104460,7.0908230,0.5433000,0,0,0,0,0,1.3291470,0,2.1170500,6.0094770,2.0844060,-2.5477670,4.3953700,2.0636740,0,0,0,0,0,0
13,Al,-24.8454040,-22.2641590,0,1.7028880,1.0736290,0,-0.5943010,-0.9565500,0,5.7767370,11.6598560,6.3477900,6.1210770,4.0062450,0,0,0,0,0,1.5217030,0,-0.4730900,1.9158250,1.4517280,-0.1540510,6.0050860,2.5199970,0,0,0,0,0,0
14,Si,-26.7634830,-22.8136350,0,1.6350750,1.3130880,0,-2.8621450,-3.9331480,0,5.0471960,5.9490570,6.7593670,5.1612970,0.9198320,0,0,0,0,0,2.1358090,0,-0.3906000,6.0000540,0.6322620,0.0572590,6.0071830,2.0199870,0,0,0,0,0,0
15,P,-40.4130960,-29.5930520,0,2.0175630,1.5047320,0,-12.6158790,-4.1600400,0,7.8016150,5.1869490,6.6184780,6.0620020,1.5428090,0,0,0,0,0,1.9405340,0,-0.6114210,1.9972720,0.7946240,-0.0939350,1.9983600,1.9106770,0,0,0,0,0,0
16,S,-49.8953710,-44.3925830,0,1.8911850,1.6589720,0,-8.8274650,-8.0914150,0,8.9646670,6.7859360,9.9681640,7.9702470,4.0418360,0,0,0,0,0,2.2697060,0,-0.3991910,6.0006690,0.9621230,-0.0548990,6.0018450,1.5799440,0,0,0,0,0,0
17,Cl,-100.6267470,-53.6143960,0,2.2462100,2.1510100,0,-27.5285600,-11.5939220,0,16.0136010,8.0481150,7.5222150,7.5041540,3.4811530,0,0,0,0,0,2.5172960,0,-0.1715910,6.0008020,1.0875020,-0.0134580,1.9666180,2.2928910,0,0,0,0,0,0
18,Ar,4.2759913,-75.1004104,0,0.9821697,5.9997150,0,-2.4320045,-22.9856937,0,3.2377414,16.3573969,19.9984646,10.9343238,0.8169151,0,0,0,0,0,2.2113324,0,-0.7376503,3.8882543,0.7150665,0,0,0,0,0,0,0,0,0
19,K,-4.2596475,-2.6425087,0,0.8101687,0.9578342,0,-0.4250386,-3.1998137,0,6.7788311,9.3472796,3.4963514,2.7416795,1.6592458,0,0,0,0,0,0.7252158,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ca,-11.9608156,-8.6350859,0,1.2087415,0.9409370,0,-0.9868271,-3.9684267,0,5.9719910,4.9607780,3.7214897,3.7116499,0.7928150,0,0,0,0,0,0.4999979,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Zn,-18.5321980,-11.0474090,0,1.8199890,1.5069220,0,-0.7155780,-6.3518640,0,9.6771960,7.7362040,4.9801740,4.6696560,0.6004130,0,0,0,0,0,1.3501260,0,-0.1112340,6.0014780,1.5160320,-0.1323700,1.9958390,2.5196420,0,0,0,0,0,0
31,Ga,-29.8555930,-21.8753710,0,1.8470400,0.8394110,0,-4.9456180,-0.4070530,0,8.4585540,8.9256190,5.0868550,4.9830450,2.0512600,0,0,0,0,0,1.6051150,0,-0.5601790,5.6232730,1.5317800,-0.2727310,1.9918430,2.1838640,0,0,0,0,0,0
32,Ge,-35.4671955,-31.5863583,0,2.2373526,1.5924319,0,-5.3250024,-2.2501567,0,5.3769635,10.2095293,7.6718647,6.9242663,1.3370204,0,0,0,0,0,1.9723370,0,0.9631726,6.0120134,2.1633655,-0.9593891,5.7491802,2.1693724,0,0,0,0,0,0
33,As,-38.5074240,-35.1524150,0,2.6361770,1.7038890,0,-8.2321650,-5.0173860,0,8.7890010,5.3979830,8.2872500,8.2103460,1.9510340,0,0,0,0,0,1.7944770,0,-0.4600950,1.9831150,1.0867930,-0.0889960,1.9929440,2.1400580,0,0,0,0,0,0
34,Se,-55.3781350,-49.8230760,0,2.8280510,1.7325360,0,-6.1578220,-5.4930390,0,7.4325910,10.0604610,9.5683260,7.7242890,4.0165580,0,0,0,0,0,3.0439570,0,0.0478730,6.0074000,2.0817170,0.1147200,6.0086720,1.5164230,0,0,0,0,0,0
35,Br,-116.6193110,-74.2271290,0,5.3484570,2.1275900,0,-31.1713420,-6.8140130,0,15.9434250,16.0616800,8.2827630,7.8168490,0.5788690,0,0,0,0,0,2.5118420,0,0.9604580,5.9765080,2.3216540,-0.9549160,5.9447030,2.3281420,0,0,0,0,0,0
36,Kr,9.7986937,-73.8595661,0,3.5608622,1.9832062,0,-1.2094707,-8.4328271,0,0.4994169,9.5261258,19.9987286,11.1986052,2.1818338,0,0,0,0,0,1.7025435,0,0.7804390,8.8371397,0.5000419,0,0,0,0,0,0,0,0,0
37,Rb,-4.5920539,-3.0119211,0,4.0000415,1.0134590,0,-12.0894660,-1.9999268,0,9.2757213,20.0000037,13.3694136,19.0000035,4.9987146,0,0,0,0,0,0.9985324,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sr,-10.9183439,-7.9835223,0,1.2794532,1.3912500,0,-10.0000071,-5.6755392,0,5.0361465,3.9284011,3.1533139,3.2457312,0.7596212,0,0,0,0,0,1.6467554,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Cd,-15.8285840,8.7497950,0,1.6793510,2.0664120,0,-8.5819440,-0.6010340,0,9.2069600,8.2315390,4.9481040,4.6696560,1.6562340,0,0,0,0,0,1.5253820,0,0,0,0,0,0,0,0,0,0,0,0,0
49,In,-26.1762050,-20.0058220,0,2.0161160,1.4453500,0,-2.9933190,-1.8289080,0,6.5549000,8.2298730,6.2992690,4.9842110,2.6314610,0,0,0,0,0,1.4183850,0,-0.3431380,1.9940340,1.6255160,-0.1095320,5.6832170,2.8670090,0,0,0,0,0,0
50,Sn,-34.5501920,-25.8944190,0,2.3733280,1.6382330,0,-2.7858020,-2.0059990,0,10.1900330,7.2353270,5.6738100,5.1822140,1.0331570,0,0,0,0,0,1.6996500,0,-0.1503530,6.0056940,1.7046420,-0.0444170,2.2573810,2.4698690,0,0,0,0,0,0
51,Sb,-56.4321960,-29.4349540,0,2.3430390,1.8999920,0,-14.7942170,-2.8179480,0,9.2382770,5.2776800,6.3500000,6.2500000,2.4244640,0,0,0,0,0,2.0343010,0,3.0020280,6.0053420,0.8530600,-0.0188920,6.0114780,2.7933110,0,0,0,0,0,0
52,Te,-44.9380360,-46.3140990,0,4.1654920,1.6475550,0,-2.6651460,-3.8954300,0,10.2550730,8.1691450,7.7775920,7.7551210,3.7724620,0,0,0,0,0,2.4850190,0,0.0333910,5.9563790,2.2775750,-1.9218670,4.9732190,0.5242430,0,0,0,0,0,0
53,I,-96.4540370,-61.0915820,0,7.0010130,2.4543540,0,-14.4942340,-5.8947030,0,13.6319430,14.9904060,7.2883300,5.9664070,2.6300350,0,0,0,0,0,1.9901850,0,-0.1314810,5.2064170,1.7488240,-0.0368970,6.0101170,2.7103730,0,0,0,0,0,0
54,Xe,5.9205889,-86.9828315,0,4.9900791,2.6929255,0,-3.6048445,-4.9673738,0,2.1874755,4.9038680,12.4939185,14.9527902,2.4768528,0,0,0,0,0,1.7948555,0,-0.2455348,2.0580083,1.7173301,0,0,0,0,0,0,0,0,0
55,Cs,-3.2036564,-1.7451970,0,3.5960298,0.9255168,0,-0.6028761,-5.9386091,0,2.1605658,4.1667498,5.4140484,6.2904939,0.3995561,0,0,0,0,0,0.5238336,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ba,-10.1028101,-6.6743838,0,1.9258219,1.4519912,0,-10.0000046,-10.0000103,0,4.8372407,3.1942225,2.1243276,2.2153940,0.3999242,0,0,0,0,0,0.4999966,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Hg,-17.7622290,-18.3307510,0,1.4768850,2.4799510,0,-3.1013650,-3.4640310,0,6.6247200,10.6392970,14.7092830,16.0007400,2.0363110,0,0,0,0,0,1.5293770,0,1.0827200,6.4965980,1.1951460,-0.0965530,3.9262810,2.6271600,0,0,0,0,0,0
81,Tl,-30.0531700,-26.9206370,0,6.8679210,1.9694450,0,-1.0844950,-7.9467990,0,10.4604120,11.2238830,4.9927850,8.9627270,2.5304060,0,0,0,0,0,1.3409510,0,-1.3613990,3.5572260,1.0928020,-0.0454010,2.3069950,2.9650290,0,0,0,0,0,0
82,Pb,-30.3227560,-24.4258340,0,3.1412890,1.8924180,0,-6.1260240,-1.3954300,0,7.0119920,6.7937820,5.1837800,5.0456510,1.5663020,0,0,0,0,0,1.6200450,0,-0.1225760,6.0030620,1.9015970,-0.0566480,4.7437050,2.8618790,0,0,0,0,0,0
83,Bi,-33.4959380,-35.5210260,0,4.9164510,1.9349350,0,-5.6072830,-5.8001520,0,4.9894800,6.1033080,8.6960070,8.3354470,0.5991220,0,0,0,0,0,1.8574310,0,2.5816930,5.0940220,0.4997870,0.0603200,6.0015380,2.4279700,0,0,0,0,0,0
87,Fr,0,0,0,0,0,0,0,0,0,10.0000000,0,0,0,0,0,0,0,0,0,3.0000000,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Cb,-11.9062760,0,0,4.0000000,0.3000000,0,-9999999.0000000,0,0,12.8480000,0,0,0,0.1000000,0,0,0,0,0,2.5441341,0,0,0,0,0,0,0,0,0,0,0,0,0
104,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5000000,0,0,0,0,0,0,0,0,0,0,0,0,0
106,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5000000,0,0,0,0,0,0,0,0,0,0,0,0,0
