# PROVENANCE: extracted from MOPAC (Molecular Orbital PACkage)
# source repo: https://github.com/openmopac/mopac  tag: v23.2.5
# source file: src/models/parameters_for_PM3_Sparkles_C.F90
# source file: src/models/parameters_C.F90
# license: Apache-2.0
# extraction script: tools/extract_pm3_params.py
# note: values are published scientific constants; see THIRD_PARTY_NOTICES.md
z,sym,gss,alp,eheat_kcal,g1_k,g1_l,g1_m,g2_k,g2_l,g2_m
57,La,55.7063938597,2.0790327441,928.9,0.9478615182,7.2366011717,1.8543786298,0.3177671904,8.5224006292,3.0752474724
58,Ce,58.5701153062,2.5665085968,944.7,1.8026688761,7.5971870028,1.8009003439,0.1319892158,9.6116040841,3.0613741124
59,Pr,58.9488361614,2.6002012752,952.9,1.7432011456,8.1376077067,1.8084052715,0.0112202332,8.7388958526,2.9806781047
60,Nd,57.4944898977,4.7057677595,962.8,1.0715972265,6.9565346287,1.7812099249,0.0886417116,10.8664473398,3.0992613820
61,Pm,59.2924444913,3.1490918074,976.9,1.6572814674,9.2529413759,1.7412637448,0.1851223683,7.4186533283,3.0623727738
62,Sm,54.8086404668,3.6813938335,974.4,0.7706615984,6.6020324700,1.7636673188,0.0936188340,9.3136737687,2.9879390071
63,Eu,55.5863246694,2.1398139884,1006.6,0.6101627168,7.1373146362,1.7807085112,0.3415714636,9.1732778046,3.0121099267
64,Gd,54.8086404668,3.6813938335,991.37,0.7706615984,7.5453068267,1.7636673188,0.0936188340,8.2224517067,2.9879390071
65,Tb,56.2564137683,2.8245126194,999.0,1.3428294115,7.5782265384,1.7181508908,0.2651000290,6.4476118233,2.9952711306
66,Dy,55.7563629021,2.4630183002,1001.3,1.3287435702,7.9816784235,1.7080927380,0.3332412720,9.7816147381,2.9323938165
67,Ho,58.0161995449,3.7240820504,1009.6,1.0370243923,8.7236664457,1.7412327388,0.5175396118,10.6247030904,3.0090983082
68,Er,58.0537274879,3.6824732031,1016.15,0.5361755749,8.7390296713,1.7856436299,0.0776867913,8.6267120701,2.9875549001
69,Tm,55.8262787893,2.7914853437,1022.06,1.0428337088,7.6146043282,1.7354274982,0.4554143900,8.5730264221,2.9246089938
70,Yb,55.8087638754,3.9448800504,1039.03,1.4143797707,8.3678869738,1.7015172798,0.1969092096,7.5001690472,2.8840018666
71,Lu,56.6177268844,4.0585822429,1031.2,1.1216536112,7.9408016011,1.7060269731,0.3305655101,7.3013810219,2.9090465178
